News#,Title Content,Match,Score,Polarity
27,"HONEYWELL BULL INTRODUCES HIGH PERFORMANCE COMPUTERS FOR MEDIUM LARGE FIRMS","",0,NEUTRAL
28,"PORK BELLY FUTURES START HIGHER THEN EASE","ease,",1,POSITIVE
29,"MISSOURI DIRECT HOGS UP 100150 DLR USDA","hogs,",-1,NEGATIVE
30,"VOLCKER SEES TIGHT POLICY HURTING INVESTMENT","hurting,",-1,NEGATIVE
31,"REUTERS RtrSY UNIT COMPLETES TRADING SYSTEM","",0,NEUTRAL
32,"LONDON LIFFE DMARK CLOSE 1614 APR 7","",0,NEUTRAL
33,"LONDON LIFFE SFRANC CLOSE 1616 APR 7","",0,NEUTRAL
34,"CBT SOYBEAN FUTURES OPEN SLIGHTLY FIRMER","firmer,",1,POSITIVE
35,"DOLLAR REMAINS IN NARROW RANGE IN QUIET ZURICH","quiet,",1,POSITIVE
36,"ST LOUIS CATTLE STEADYUP 050 DLR USDA","",0,NEUTRAL
37,"LIFFE AFTER RECORD VOLUMES SEES MORE GROWTH","",0,NEUTRAL
38,"NEW BEDFORD INSTITUTION FOR SAVINGS NBBS YEAR","savings,",1,POSITIVE
39,"HONEYWELL BULL UNVEILS FIVE NEW COMPUTERS","",0,NEUTRAL
40,"OXFORD ENERGY CO OEN TO BUILD ENRGY PLANT","",0,NEUTRAL
41,"POLYDEX POLXF ANTIWRINKLE INGREDIENT PATENTED","",0,NEUTRAL
42,"DIGITAL TRANSMISSION DTINU OFFERS UNITS","",0,NEUTRAL
43,"CBT SOYPRODUCT FUTURES HIGHER IN EARLY TRADE","",0,NEUTRAL
44,"PRESIDENTIAL AIR PAIR IN SALELEASEBACK","",0,NEUTRAL
45,"MIDWEST GRAIN FUTURES 1120 EDT","",0,NEUTRAL
46,"HIGHWOOD HIWDF COMMENTS ON SHARE PRICE RISE","",0,NEUTRAL
47,"SPOT TIN SLIGHTLY LOWER ON EUROPEAN FREE MARKET","free,",1,POSITIVE
48,"FHLBB CHANGES SHORTTERM DISCOUNT NOTE RATES","",0,NEUTRAL
49,"GENERAL ELECTRICGEPOWERED HELICOPTER UNVEILED","",0,NEUTRAL
50,"REUTER UNIT COMPLETES MERRILL LYNCH TRADING SYSTEM","",0,NEUTRAL
51,"AFRICAN DEVELOPMENT BANK LOANS ROSE 42 PCT IN 1986","",0,NEUTRAL
52,"OMAHA CATTLE UP 050 DLR USDA","",0,NEUTRAL
53,"MELRIDGE BULB UNIT IN REAL ESTATE AGREEMENT","",0,NEUTRAL
54,"PHOTRONICS CORP PHOT YEAR FEB 28 NET","",0,NEUTRAL
55,"MIDWAY AIRLINES MDWY MARCH LOAD FACTOR FALLS","falls,",-1,NEGATIVE
56,"OCEAN BIOCHEM INC OBCI YEAR NET","",0,NEUTRAL
57,"LOWES LOW TO SELL DURAKON DRKN LINER","",0,NEUTRAL
58,"FEDERAL RESOURCES FDRC NAMES NEW PRESIDENT","",0,NEUTRAL
59,"WALKER TELECOMMUNICATIONS WTEL GETS CONTRACT","",0,NEUTRAL
60,"AIDC ISSUES AUSTRALIAN DOLLAR ZERO COUPON EUROBOND","issues,",-1,NEGATIVE
61,"TELECOMMUNICATIONS TCOMA SELLS CABLE SYSTEMS","",0,NEUTRAL
62,"SWEDISH FINANCE FIRMS SEEN HIT BY DEREGULATION","",0,NEUTRAL
63,"WALL STREET STOCKS HIGHER IN LATE MORNING","",0,NEUTRAL
64,"ENVIRONMENTAL POWER CORP POWR YEAR NET","",0,NEUTRAL
65,"SWEDISH INDUSTRY SEES HIGHER 1987 PRODUCTION","",0,NEUTRAL
66,"US ENERGY FUTURES STEADY BUT QUIET","quiet, steady,",2,POSITIVE
67,"GERMAN LONGTERM CAPITAL INFLOW SLUMPS IN FEBRUARY","",0,NEUTRAL
68,"BRITISH TELECOM NTT SIGN COOPERATION AGREEMENT","",0,NEUTRAL
69,"SIOUX CITY CATTLE UP 050100 DLR USDA","",0,NEUTRAL
70,"NY COTTON FUTURES STEADY IN EARLY TRADING","steady,",1,POSITIVE
71,"SIOUX CITY HOGS STEADYUP 125 DLR USDA","hogs,",-1,NEGATIVE
72,"MIDWEST GRAIN FUTURES 1131 EDT","",0,NEUTRAL
73,"EC SOURCES SAY UK WHEAT PLAN YET TO BE APPROVED","",0,NEUTRAL
74,"BROKERAGE FIRM UPS STAKE IN ALLEGHENY AG","",0,NEUTRAL
75,"UK GRAIN FUTURES CLOSE STEADY TO FIRMER","firmer, steady,",2,POSITIVE
76,"KANSAS CITY SHIPMENTS AND RECEIPTS","",0,NEUTRAL
77,"STONE STO FILES FOR SECONDARY OFFERING","",0,NEUTRAL
78,"LME METAL PM 2ND RING VOLUMESPAIDS APR 7","",0,NEUTRAL
79,"SPOT LARD TALLOW GREASE STEADY","steady,",1,POSITIVE
80,"BOEING PROPOSES WESTLAND DEAL","",0,NEUTRAL
81,"ENVIRONMENTAL POWER POWR GETS CONTRACTS","",0,NEUTRAL
82,"LONE STAR LCE SEES FLAT US CEMENT DEMAND","lone,",-1,NEGATIVE
83,"US ALUMINUM STOCKS HIGHER IN DECEMBER ABMS","",0,NEUTRAL
84,"MALTA TENDERS FOR WHITE SUGAR TODAY TRADE","",0,NEUTRAL
85,"CALTON CN OFFERING DECLARED EFFECTIVE","effective,",1,POSITIVE
86,"CHILIS CHLI FILES FOR CONVERTIBLE DEBENTURES","",0,NEUTRAL
87,"GOTTHARD BANK SELLS WARRANTS INTO DAINIPPON INK","",0,NEUTRAL
88,"FED SETS TWODAY SYSTEM REPURCHASES FED SAYS","",0,NEUTRAL
89,"ALIAS RESEARCH IN CAPITAL JOINT VENTURE","",0,NEUTRAL
90,"EMERY AIR EAF MARCH SHIPMENTS RISE","",0,NEUTRAL
91,"CORROON AND BLACK CBL COMPLETE ACQUISITION","",0,NEUTRAL
92,"COLONIAL CLBGA TO ACQUIRE PENSACOLA BANK","",0,NEUTRAL
93,"KANSAS CITY WHEAT MARGINALLY FIRMER AT MIDDAY","firmer, marginally,",0,NEUTRAL
94,"MIDWEST GRAIN FUTURES 1140 EDT","",0,NEUTRAL
95,"ST JOSEPH HOGS UP 100150 DLR USDA","hogs,",-1,NEGATIVE
96,"IaSo Minn direct hogs estimated rcpts 80000 vs actual week ago 85000 and actual year ago 72000","hogs,",-1,NEGATIVE
97,"OHIO DIRECT HOGS UP 100 DLR USDA","hogs,",-1,NEGATIVE
98,"ONTARIO TREASURY BILL YIELD RISES","",0,NEUTRAL
99,"UNIVERSITY UPT REPORTS MARCH LENS SALE","",0,NEUTRAL
100,"SUPER RITE FOODS INC SRFI SETS QTRLY PAYOUT","super,",1,POSITIVE
101,"KANSAS CITY HOGS UP 150 DLR USDA","hogs,",-1,NEGATIVE
102,"MILTON ROY CO MRC SETS QUARTERLY","",0,NEUTRAL
103,"JOLIET HOGS UP 100 DLR USDA","hogs,",-1,NEGATIVE
104,"INDIANA DIRECT HOGS UP 100150 DLR USDA","hogs,",-1,NEGATIVE
105,"DELTA AIR DAL TO EXPAND PASSENGER TERMINAL","",0,NEUTRAL
106,"DOLLAR STEADY IN LATE PARIS TRADING","steady,",1,POSITIVE
107,"GOLDSIL AND GOLDEN RULE AGREE TO MERGE","golden,",1,POSITIVE
108,"FED SETS TWODAY SYSTEM REPURCHASES","",0,NEUTRAL
109,"COLONIAL BANCGROUP INC CLBGA 1ST QTR NET","",0,NEUTRAL
110,"Dresdner to propose 1986 dividend 10 marks vs same onefor18 bonus share issue","issue, bonus,",0,NEUTRAL
111,"LONDON OILSSEEDS CLOSE QUIETLY MIXED","",0,NEUTRAL
112,"WALL STREET STOCKSAUTOMAKERS","",0,NEUTRAL
113,"ST PAUL CATTLE UP 100150 DLR USDA","",0,NEUTRAL
114,"ST PAUL HOGS UP 100200 DLRS USDA","hogs,",-1,NEGATIVE
115,"EUROPEAN SOYFEED AFTERNOON GENERALLY ACTIVE","",0,NEUTRAL
116,"CASH SOYMEAL BASIS STEADY IN INCREASED TRADE","steady,",1,POSITIVE
117,"MIDWEST GRAIN FUTURES 1150 EDT","",0,NEUTRAL
118,"BROWNINGFERRIS BFI UNIT SEEKS WASTE PERMIT","waste,",-1,NEGATIVE
119,"LONDON SOYMEAL FUTURES CLOSE QUIETLY MIXED","",0,NEUTRAL
120,"WHITE HOUSE SAYS AID CHIEF PETER MCPHERSON TO BE DEPUTY TREASURY SECRETARY","",0,NEUTRAL
121,"JAPAN CUTS CHIP SUPPLY MAY PRODUCE SHORTAGE","shortage,",-1,NEGATIVE
122,"SENIOR TREASURY AIDE SAYS PARIS PACT TO BE REVIEWED US THINKS IT SUCCESSFUL","successful,",1,POSITIVE
123,"INVESTORS RAISE STAKE IN PUROLATOR PCC","",0,NEUTRAL
124,"SENIOR US AIDE SAYS NO CONSENSUS YET ON PARIS CLUB RELIEF FOR POOREST NATIONS","poorest, relief,",0,NEUTRAL
125,"LONDON COCOA GRADINGSTENDERS APR 7","",0,NEUTRAL
126,"LONDON COFFEE GRADINGSTENDERS AFTERNOON APR 7","",0,NEUTRAL
127,"DUTCH MONEY MARKET DEBT RISES IN WEEK","debt,",-1,NEGATIVE
128,"INTERNATIONAL BOND HIGHLIGHTS APRIL 7","",0,NEUTRAL
129,"SENATE FARM LEADER URGES HELP FOR RURAL AMERICA","",0,NEUTRAL
130,"KUWAIT ASKS TO USE FOREIGN FLAG TANKERS US SAYS","",0,NEUTRAL
131,"US GRAIN CERTS SAVE 50100 MLN DLRS AMSTUTZ","",0,NEUTRAL
132,"GM GM SHIFTS LATIN AMERICAN ASIA OFFICERS","",0,NEUTRAL
133,"VOLCKER SAYS FED POLICY NOT RESPONSIBLE FOR PRIME RATE RISE","",0,NEUTRAL
134,"LONDON EURODOLLAR DEPOSITS CLOSE QUIETLY STEADY","steady,",1,POSITIVE
135,"US URGES SURPLUS NATIONS TO BOOST GROWTH","boost,",1,POSITIVE
136,"REUTER COMMODITIES NEWS HIGHLIGHTS 1600 GMT APRIL 7","",0,NEUTRAL
137,"MIDWEST GRAIN FUTURES 1200 EDT","",0,NEUTRAL
138,"CBT CORN SPREADS","",0,NEUTRAL
139,"MIDWEST GRAIN FUTURES 1201 EDT","",0,NEUTRAL
140,"CBT SOYBEAN SPREADS","",0,NEUTRAL
141,"CBT SOYBEAN OIL SPREADS","",0,NEUTRAL
142,"LONDON GOLD CLOSES OFF LOWS","gold,",1,POSITIVE
143,"CBT CORN FUTURES HOLD GAINS AT MIDSESSION","gains,",1,POSITIVE
144,"CBT SOYBEAN MEAL SPREADS","",0,NEUTRAL
145,"CASH PORK CALLED MIXED BEEF HIGHER","",0,NEUTRAL
146,"GANDALF GANDF BRITISH TELECOM IN AGREEMENT","",0,NEUTRAL
147,"MANHATTAN NATIONAL MLC NAMES NEW CHAIRMAN","",0,NEUTRAL
148,"ACME PRECISION ACL SETS HOLDER VOTE ON BUYOUT","",0,NEUTRAL
149,"UAL UAL AIRLINE PILOTS HOLDING NATIONAL MEETING","",0,NEUTRAL
150,"NATIONAL GYPSUM DEBT UPGRADED BY MOODYS","upgraded, debt,",0,NEUTRAL
151,"NYNEX NYN TO HIRE TEMPORARY WORK FORCE","work,",1,POSITIVE
152,"ERICSSON ERICY GETS U S WEST USW ORDER","",0,NEUTRAL
153,"MINNEAPOLIS SPRING WHEAT MOSTLY UP AT MIDDAY","",0,NEUTRAL
154,"MIDWEST GRAIN FUTURES 1210 EDT","",0,NEUTRAL
155,"VOLCKER SAYS FED POLICY NOT LINKED TO RATE RISE","",0,NEUTRAL
156,"MIDDAY WINNIPEG OILSEEDS HIGHER","",0,NEUTRAL
157,"SCRAP COPPER QUOTED AT NOMINAL 5150 CENTS","scrap,",-1,NEGATIVE
158,"LONDON COMMODITY EXCHANGE VOLUME STEADY ICCH","steady,",1,POSITIVE
159,"BANK OF ENGLAND EFFECTIVE INDEX SHOWS DOLLAR AT 1016","effective,",1,POSITIVE
160,"INTERNATIONAL CREDIT HIGHLIGHTS APRIL 7","",0,NEUTRAL
161,"CANADA STOCKS HIGHER AT MIDSESSION","",0,NEUTRAL
162,"AEGON ISSUES 200 MLN GUILDER BONDS WITH WARRANTS","issues,",-1,NEGATIVE
163,"OMAHA HOGS UP 100 DLR USDA","hogs,",-1,NEGATIVE
164,"WEIS MARKETS WMK IN THREE FOR TWO STOCK SPLIT","split,",-1,NEGATIVE
165,"RAYTHEON RTN RECEIVES 375 MLN DLR CONTRACT","",0,NEUTRAL
166,"LORIMAR LT GETS OUTBOARD MARINE OMC PACT","",0,NEUTRAL
167,"MCCORMICK CAPITAL MKOR 1986 YEAR NET","",0,NEUTRAL
168,"NY FCOJ FUTURES SURGE OFF HIGHS MIDDAY","",0,NEUTRAL
169,"LONDON SUGAR RALLIES FROM LOWS BY LATE AFTERNOON","",0,NEUTRAL
170,"PLEXUS PLUSF SETS EQUITY FINANCING","",0,NEUTRAL
171,"LIVE CATTLE FUTURES MIXED AT MIDSESSION","",0,NEUTRAL
172,"US SAYS NO PACT ON RELIEF FOR POOREST STATES","poorest, relief,",0,NEUTRAL
173,"LOUISVILLE FEEDERS STEADYUP 100 DLR USDA","",0,NEUTRAL
174,"US MINT SEEKING OFFERS ON COPPER NICKEL","",0,NEUTRAL
175,"FAMILY HEALTH SYSTEMS FHSY TO MAKE PURCHASE","",0,NEUTRAL
176,"EC SUGAR IMPORT LEVIES","",0,NEUTRAL
177,"OLD FASHION FOODS INC OFFI 3RD QTR FEB 28 NET","",0,NEUTRAL
178,"CBT WHEAT FUTURES EASE TO MIXED BY MIDSESSION","ease,",1,POSITIVE
179,"LME COPPER CLOSES AFTER RETREAT FROM EARLIER HIGHS","retreat,",-1,NEGATIVE
180,"MOTOROLA MOT SELECTS SYSTEM COMPILERS","",0,NEUTRAL
181,"MIDWEST GRAIN FUTURES 1220 EDT","",0,NEUTRAL
182,"MIDSESSION FEEDER CATTLE FUTURES MIXED","",0,NEUTRAL
183,"CONSOLIDATEDBATHURST SEES BETTER MARKET","better,",1,POSITIVE
184,"LONDON COFFEE CLOSES FIRMER IN DULL TRADING","firmer, dull,",0,NEUTRAL
185,"LONDON EXCHANGES SDR CALCULATION","",0,NEUTRAL
186,"MORE US GRAIN CERTIFICATES NEEDED STUDY SAYS","",0,NEUTRAL
187,"CUMMINS ENGINE CUM SEES IMPROVED EARNINGS","improved,",1,POSITIVE
188,"NORTHWEST TELECOM NOWT MAKES ACQUISITION","",0,NEUTRAL
189,"MILTON ROY CO MRC SETS REGULAR DIVIDEND","",0,NEUTRAL
190,"LIVE HOG FUTURES UP FURTHER AT MIDSESSION","",0,NEUTRAL
191,"LONDON GASOIL CALL COMPLETE 1723 APR 7","",0,NEUTRAL
192,"bBANK OF CANADA DOLLAR STERLING RATES","",0,NEUTRAL
193,"OKLAHOMA CITY FEEDERS STEADY USDA","steady,",1,POSITIVE
194,"OHIO MATTRESS CO OMT 1ST QTR FEB 28 NET","",0,NEUTRAL
195,"MOODYS MAY UPGRADE PUBLIC SERVICE INDIANAS 11 BILLION DLRS OF DEBT","debt,",-1,NEGATIVE
196,"WORLD SUGAR FUTURES PARE LOSSES BY MIDSESSION","losses,",-1,NEGATIVE
197,"ITALIAN BANK DEPOSIT GUARANTEE FUND APPROVED","guarantee,",1,POSITIVE
198,"COMPUTER NETWORKCMNT MAKES SIX INSTALLATIONS","",0,NEUTRAL
199,"LME NICKEL CLOSE SLIPS TO DAYS LOW","",0,NEUTRAL
200,"CBT SOYBEAN FUTURES MOSTLY HIGHER AT MIDSESSION","",0,NEUTRAL
201,"YUGOSLAVIA DISCUSSES COMMERCIAL DEBT REFINANCING","debt,",-1,NEGATIVE
202,"LME LEAD CLOSES FIRMER","firmer, lead,",2,POSITIVE
203,"LONDON SUGAR NO6 AT 1730 APR 7","",0,NEUTRAL
204,"BOESKY AIDE DAVIDOFF CONSENTS TO SEC PENALTIES AGREES TO HELP INVESTIGATION","",0,NEUTRAL
205,"USSR CROP WEATHER SUMMARY USDANOAA","",0,NEUTRAL
206,"DOLLAR SLIGHTLY LOWER AT NEW YORK MIDSESSION","",0,NEUTRAL
207,"LONDON COCOA CLOSES NARROWLY MIXED","",0,NEUTRAL
208,"SIOUX FALLS HOGS UP 150175 DLR USDA","falls, hogs,",-2,NEGATIVE
209,"MIDWEST GRAIN FUTURES 1230 EDT","",0,NEUTRAL
210,"US HOUSE LEADER THINKS TAX HIKE WILL PASS","",0,NEUTRAL
211,"WALL STREET STOCKS HIGHER AT MIDSESSION","",0,NEUTRAL
212,"US WEATHERCOTTON SUMMARY USDANOAA","",0,NEUTRAL
213,"COMEX SILVER FUTURES HOLD GAINS AT MIDDAY","gains,",1,POSITIVE
214,"PORK BELLY FUTURES HIGHER AT MIDSESSION","",0,NEUTRAL
215,"DOLLAR STEADY IN EUROPE AHEAD OF WASHINGTON TALKS","steady,",1,POSITIVE
216,"US GOLD FUTURES HOLD PARED GAINS AT MIDSESSION","gold, gains,",2,POSITIVE
217,"DALTEX DLTX ASSIGNED PATENT FOR SKIN THERAPY","",0,NEUTRAL
218,"GRAIN SHIPS WAITING AT NEW ORLEANS","",0,NEUTRAL
219,"CBT SOYPRODUCT FUTURES HIGHER AT MIDSESSION","",0,NEUTRAL
220,"CASH WHOLESALE BEEF PRICES","",0,NEUTRAL
221,"LME ZINC CLOSES STEADY AT LOWER LEVELS","steady,",1,POSITIVE
222,"US SAYS NO PACT ON RELIEF FOR POOREST STATES","poorest, relief,",0,NEUTRAL
223,"BIFFEX FALLS FURTHER BY CLOSE","falls,",-1,NEGATIVE
224,"MIDWEST GRAIN FUTURES 1240 EDT","",0,NEUTRAL
225,"WEST FARGO CATTLE UP 200 DLRS USDA","",0,NEUTRAL
226,"CASH WHOLESALE PORK PRICES","",0,NEUTRAL
227,"CASH GRAIN SORGHUM PRICES","",0,NEUTRAL
228,"COCOACOFFEESUGAR TRADE NEWSMARKET COMMENT","",0,NEUTRAL
229,"NY PLATINUM FUTURES HIGHER AT MIDSESSION","",0,NEUTRAL
230,"BOESKY AIDE AGREES TO STOCK TRADING PENALTIES","",0,NEUTRAL
231,"GENERAL PARTNERS IS TERMINATING OFFER FOR GENCORP INC","",0,NEUTRAL
232,"TXW OKLA FEEDLOT CATTLE STDYUP 050 DLRUSDA","",0,NEUTRAL
233,"MIYAZAWA LEAVES HOTEL FOR MEETING WITH BAKER AT TREASURY JAPANESE OFFICIALS SAY","",0,NEUTRAL
234,"US LIVESTOCK STRESSED BY WEATHERUSDANOAA","",0,NEUTRAL
235,"BURLINGTON NORTHERN INC 1ST QTR SHR PROFIT 93 CTS VS LOSS 355 DLRS","loss,",-1,NEGATIVE
236,"IOWA GRAIN ELEVATOR EXPLODES BURNS","burns,",-1,NEGATIVE
237,"US CREDIT MARKETS MIXED AT MIDSESSION","",0,NEUTRAL
238,"MIDWEST GRAIN FUTURES 1250 EDT","",0,NEUTRAL
239,"ARTISTIC GREETINGS ARTG SEES RECOVERY IN NET","recovery,",1,POSITIVE
240,"PARTNERSHIP BUYS 51 PCT ORANGECO OJ STAKE","",0,NEUTRAL
241,"COOPERATIVE ENERGY TESTS OIL AT TWO WELLS","cooperative,",1,POSITIVE
242,"AVINDA DEBENTURES CONVERTED TO COMMON SHARES","",0,NEUTRAL
243,"COMEX COPPER FUTURES DROP LATE SETTLE LOWER","",0,NEUTRAL
244,"MAYMA NAMES CHAIRMAN FOR LS AYRES DIVISION","",0,NEUTRAL
245,"DOW DOW UNIT GETS FDA REVERSE OSMOSIS PERMIT","",0,NEUTRAL
246,"CUMMINS ENGINE CO INC CUM SETS PAYOUT","",0,NEUTRAL
247,"LIVE HOG FUTURES TRIM SHARP GAINS AT CLOSE","gains, sharp,",2,POSITIVE
248,"CBT SOYBEAN FUTURES CLOSE STRONG IN NEW CROP","strong,",1,POSITIVE
249,"PHILADELPHIA ELECTRIC PE REPLACES ENGINEER","",0,NEUTRAL
250,"KANSAS CITY WHEAT LOSES EARLY GAINS ENDS LOWER","loses, gains,",0,NEUTRAL
251,"MOODYS DOWNGRADES 18 BILLION DLRS OF DEERE RELATED DEBT","debt,",-1,NEGATIVE
252,"CANADA LAWMAKERS URGE EXEMPTION FROM US BILL","",0,NEUTRAL
253,"CENTRAL BANCSHARES CBSS 1ST QTR NET","",0,NEUTRAL
254,"US CERTIFIED COFFEE STOCKS DOWN IN LATEST WEEK","",0,NEUTRAL
255,"REUTER WORLD NEWS HIGHLIGHTS 1800 GMT APRIL 7","",0,NEUTRAL
256,"TEXTRON TXT PLANS SALE OF AVCO DIVISION","",0,NEUTRAL
257,"NY PLATINUM FUTURES FINISH HIGHER","",0,NEUTRAL
258,"GREEN TREE ACCEPTANCE INC GNT 1ST QTR NET","",0,NEUTRAL
259,"MINNEAPOLIS WHEAT PROTEIN SCALES","",0,NEUTRAL
260,"US IMMIGRATION RULES SPARK CONGRESS OBJECTIONS","objections,",-1,NEGATIVE
261,"JAMESWAY JMY SEES YEAR SALES AT 700 MLN DLRS","",0,NEUTRAL
262,"BANK SEES STRONG DEMAND FOR BTP PRIVATISATION OFFER","strong,",1,POSITIVE
263,"CHICAGO BOARD OF TRADE DELIVERABLE GRAIN STOCKS","",0,NEUTRAL
264,"CUBA CRUDE SUGAR HARVEST FAR BEHIND SCHEDULE","crude,",-1,NEGATIVE
265,"ATT T GETS GEORGIA RATE REDUCTION APPROVAL","approval,",1,POSITIVE
266,"CHICAGO DELIVERABLE WHEAT STOCKS","",0,NEUTRAL
267,"CBT CORN FUTURES CLOSE HIGHER ON FIRM NOTE","",0,NEUTRAL
268,"CHICAGO DELIVERABLE SOYBEAN STOCKS","",0,NEUTRAL
269,"MINNEAPOLIS SPRING WHEAT CLOSES HIGHER","",0,NEUTRAL
270,"DELIVERABLE GRADE GUIDE","",0,NEUTRAL
271,"MINNEAPOLIS DELIVERABLE OAT STOCKS","",0,NEUTRAL
272,"PORK BELLY FUTURES CLOSE MIXED","",0,NEUTRAL
273,"COMEX SILVER FUTURES CLOSE ON HIGHS","",0,NEUTRAL
274,"TOLEDO DELIVERABLE WHEAT STOCKS","",0,NEUTRAL
275,"WORLD SUGAR FUTURES RALLY LATE SETTLE HIGHER","",0,NEUTRAL
276,"TOLEDO DELIVERABLE CORN STOCKS","",0,NEUTRAL
277,"LUMBER FUTURES TRIM LOSSES AT CLOSE","losses,",-1,NEGATIVE
278,"CHASE MANHATTAN TO CLOSE PERU CONSUMER OPERATION","",0,NEUTRAL
279,"ST LOUIS DELIVERABLE CORN STOCKS","",0,NEUTRAL
280,"TOLEDO DELIVERABLE SOYBEAN STOCKS","",0,NEUTRAL
281,"AVON SAYS IT TO BUY GIORGIO INC A FRAGRANCE COMPANY FOR 185 MLN DLRS","",0,NEUTRAL
282,"CANADIAN METALS April 7","",0,NEUTRAL
283,"COMEX ALUMINUM FUTURES SETTLE UNCHANGED","",0,NEUTRAL
284,"KANSAS CITY DELIVERABLE GRAIN STOCKS","",0,NEUTRAL
285,"TWA SAYS MARCH SYSTEM LOAD FACTOR RISES TO 674 PCT FROM 604 PCT A YEAR AGO","",0,NEUTRAL
286,"MAGMA LOWERS COPPER PRICE 050 CT TO 6550 CTS","",0,NEUTRAL
287,"MINNEAPOLIS DELIVERABLE SPRING WHEAT STOCKS","",0,NEUTRAL
288,"YEUTTER WARNS CONGRESS ON TRADE RETALIATION","",0,NEUTRAL
289,"JEUMONTSCHNEIDER SETS UP CANADIAN SUBSIDIARY","",0,NEUTRAL
290,"US GOLD FUTURES END STRONGER NEAR DAYS HIGHS","gold, stronger,",2,POSITIVE
291,"WASTE MANAGEMENT WMT CANNOT ACCOUNT FOR DROP","waste,",-1,NEGATIVE
292,"IRAQ CCC CREDIT GUARANTEES SWITCHED USDA","",0,NEUTRAL
293,"AVON PRODUCTS AVP TO BUY GIORGIO FOR 185 MLN","",0,NEUTRAL
294,"NATIONAL AVERAGE PRICES FOR FARMEROWNED RESERVE","",0,NEUTRAL
295,"CBT WHEAT FUTURES RALLY TO CLOSE HIGHER","",0,NEUTRAL
296,"HONDURAS SEEKING PL480 VESSELS FOR BULK WHEAT","",0,NEUTRAL
297,"BRAZIL SETS UP SPECIAL DEBT COMMISSION","debt,",-1,NEGATIVE
298,"DEERE DE AND UNIT DEBT DOWNGRADED BY MOODYS","debt,",-1,NEGATIVE
299,"MAGMA LOWERS COPPER PRICE 050 CT TO 6550 CTS","",0,NEUTRAL
300,"TWA TWA MARCH TRAFFIC RISES","",0,NEUTRAL
301,"NY COTTON EXTENDS GAINS LATE SETTLES HIGHER","gains,",1,POSITIVE
302,"CBT SOYPRODUCT FUTURES CLOSE MIXED","",0,NEUTRAL
303,"GENCORP GY SAYS BUYBACK BETTER THAN TAKEOVER","better,",1,POSITIVE
304,"WALL STREET STOCKS LOWER IN LATE TRADING","",0,NEUTRAL
305,"BERRY PETROLEUM NORRIS OIL NOIL TO MERGE","",0,NEUTRAL
306,"CCC CREDITS FOR BANGLADESH AMENDED USDA","",0,NEUTRAL
307,"ALLIEDSIGNAL ALD UNIT TO CUT EMPLOYEES","",0,NEUTRAL
308,"NY COCOA FUTURES CLOSE MIXED","",0,NEUTRAL
309,"CCC SEED CREDIT GURANTEES FOR ALGERIA USDA","",0,NEUTRAL
310,"AMR AMR FORMS NEW INVESTMENT UNIT","",0,NEUTRAL
311,"USDA ANNOUNCES WORLD MARKET RICE PRICES","",0,NEUTRAL
312,"TOTAL SYSTEM SERVICES INC TSYS 1ST QTR NET","",0,NEUTRAL
